900;5300000;5399999;100000;"""Т2 Мобайл"" ООО";38;20;D3820
900;5400000;5449999;50000;"""Т2 Мобайл"" ООО";38;20;D3820
900;5450000;5549999;100000;"""Т2 Мобайл"" ООО";38;20;D3820
900;5550000;5559999;10000;"""СИМ ТЕЛЕКОМ"" ООО";77;47;D7747
900;5560000;5609999;50000;"""Т2 Мобайл"" ООО";38;20;D3820
900;5610000;5709999;100000;"""Т2 Мобайл"" ООО";42;20;D4220
900;5710000;5809999;100000;"""Т2 Мобайл"" ООО";43;20;D4320
900;5810000;5909999;100000;"""Т2 Мобайл"" ООО";36;20;D3620
900;5910000;6009999;100000;"""Т2 Мобайл"" ООО";50;20;D5020
900;6010000;6109999;100000;"""Т2 Мобайл"" ООО";63;20;D6320
900;6110000;6199999;90000;"""СИМ ТЕЛЕКОМ"" ООО";77;47;D7747
900;6200000;6599999;400000;"""Т2 Мобайл"" ООО";78;20;D7820
900;6600000;6699999;100000;"""Т2 Мобайл"" ООО";66;20;D6620
900;6700000;6799999;100000;"""Т2 Мобайл"" ООО";57;20;D5720
900;6800000;6899999;100000;"""Т2 Мобайл"" ООО";24;20;D2420
900;6900000;6999999;100000;"""Т2 Мобайл"" ООО";35;20;D3520
900;7000000;7499999;500000;"""Антарес"" ООО";77;28;D7728
900;7900000;7999999;100000;"""Антарес"" ООО";39;28;D3928
900;9000000;9009999;10000;"""Газпром телеком"" ООО";77;41;D7741
900;9010000;9109999;100000;"""Т2 Мобайл"" ООО";63;20;D6320
900;9110000;9209999;100000;"""Т2 Мобайл"" ООО";32;20;D3220
900;9210000;9239999;30000;"""Т2 Мобайл"" ООО";71;20;D7120
900;9240000;9339999;100000;"""Т2 Мобайл"" ООО";39;20;D3920
900;9340000;9439999;100000;"""Т2 Мобайл"" ООО";53;20;D5320
900;9440000;9639999;200000;"""Т2 Мобайл"" ООО";39;20;D3920
900;9640000;9739999;100000;"""Т2 Мобайл"" ООО";63;20;D6320
900;9740000;9839999;100000;"""Т2 Мобайл"" ООО";11;20;D1120
900;9840000;9849999;10000;"""Т2 Мобайл"" ООО";69;20;D6920
900;9850000;9899999;50000;"""Т2 Мобайл"" ООО";50;20;D5020
900;9900000;9999999;100000;"""Т2 Мобайл"" ООО";61;20;D6120
901;0000000;0009999;10000;"""Т2 Мобайл"" ООО";62;20;D6220
901;0010000;0019999;10000;"""Т2 Мобайл"" ООО";15;20;D1520
901;0020000;0079999;60000;"""Т2 Мобайл"" ООО";25;20;D2520
901;0080000;0099999;20000;"""Т2 Мобайл"" ООО";25;20;D2520
901;0100000;0129999;30000;"""Т2 Мобайл"" ООО";01;20;D0120
901;0130000;0134999;5000;"""Т2 Мобайл"" ООО";01;20;D0120
901;0135000;0135049;50;"""Т2 Мобайл"" ООО";60;20;D6020
901;0135050;0135099;50;"""Т2 Мобайл"" ООО";16;20;D1620
901;0135100;0135299;200;"""Т2 Мобайл"" ООО";07;20;D0720
901;0135300;0135499;200;"""Т2 Мобайл"" ООО";04;20;D0420
901;0135500;0135599;100;"""Т2 Мобайл"" ООО";26;20;D2620
901;0135600;0135699;100;"""Т2 Мобайл"" ООО";23;20;D2320
901;0135700;0135799;100;"""Т2 Мобайл"" ООО";24;20;D2420
